Party,Category,Policy
Conservatives,Crime,"Recruit 8,000 more police officers, new powers and tools, including facial recognition"
Conservatives,Crime,License police officers for specialist roles
Conservatives,Crime,Build four new prisons by 2030
Conservatives,Crime,Fund every police force to roll out Hotspot Policing to cut anti-social behaviour
Conservatives,Crime,"Create new offences for spiking, the creation of sexualised deepfake images and taking intimate images without consent"
Conservatives,Crime,"No tolerance for antisemitic hatred in any form, and stamp out anti-Muslim hatred"
Green Party,Crime,"Implement community-based policing, end routine use of Stop and Search and facial recognition software"
Green Party,Crime,Give elected politicians open access to data to enable effective scrutiny of policing
Green Party,Crime,Focus on rehabilitation through investment in the probation and prison services
Green Party,Crime,Focus on prevention through restoring the funding for youth services and through community-based policing
Green Party,Crime,Implement a new UK-wide strategy to tackle gender-based violence
Green Party,Crime,"Make misogyny a hate crime, and support the right to religious expression"
Labour,Crime,"Introduce a Neighbourhood Policing Guarantee, recruit thousands of police officers, and ban persistent offenders from town centres"
Labour,Crime,"Introduce mandatory professional standards on vetting, checks and misconduct for individual police officers"
Labour,Crime,Build the prisons so badly needed
Labour,Crime,Restore police patrols to town centres
Labour,Crime,"Introduce domestic abuse experts in 999 control rooms, have specialist rape and sexual offences teams in every police force, and fast-track rape court cases"
Labour,Crime,"Make all strands of hate crime an aggravated offence, and reverse the decision to downgrade monitoring of antisemitic and Islamophobic hate"
Liberal Democrats,Crime,"Draw up a police recruitment strategy, restore community policing, halt facial recognition surveillance and end disproportionate use of Stop and Search"
Liberal Democrats,Crime,Replace Police and Crime Commissioners with local Police Boards made up of councillors and local groups
Liberal Democrats,Crime,Recruit and retain more prison officers
Liberal Democrats,Crime,"Improve rehabilitation in prisons and on release, and strengthen the supervision of offenders in the community"
Liberal Democrats,Crime,Ensure survivors of violence against women and girls are properly supported in the criminal justice process
Liberal Democrats,Crime,"Make misogyny a hate crime, and work with communities to tackle the alarming rise of antisemitism and Islamophobia"
Reform Party,Crime,"Recruit 40,000 new front-line officers over five years, and increase Stop and Search substantially"
Reform Party,Crime,Expand the capacity of state built and managed prisons
Reform Party,Crime,"Reopen High Intensity Training Camps for young offenders to teach basic education, teamwork and values"
Reform Party,Crime,"Change the definition of hate crime, which has led to systemic bias"
Conservatives,Democracy,Maintain the First Past the Post system for elections and the requirement to show voter ID
Conservatives,Democracy,Maintain the voting age at 18
Conservatives,Democracy,"By 2030, ensure every part of England that wants a devolution deal will have one"
Conservatives,Democracy,Oppose attempts by devolved governments to distract from delivering on people's priorities with constitutional wrangling
Green Party,Democracy,Introduce a proportional voting system for Parliamentary and council elections and scrap voter ID
Green Party,Democracy,"Give 16- and 17-year-olds the right to vote, and to stand for Parliament and other elected offices"
Green Party,Democracy,Introduce state funding for political parties and restore the Electoral Commission’s power to prosecute
Green Party,Democracy,"Give local authorities the powers and resources they need, with an increase in funding of £5bn per year"
Green Party,Democracy,"Allow Scotland, Wales and Northern Ireland to choose their relationship to UK, and give Wales the same devolved powers as Scotland"
Labour,Democracy,Improve voter registration and address inconsistencies in voter ID rules
Labour,Democracy,Give 16- and 17-year-olds the right to vote in all elections
Labour,Democracy,Strengthen rules around donations to political parties and establish an Ethics and Integrity Commission
Labour,Democracy,"Widen devolution to more areas, encouraging local authorities to take on powers, and give councils multi-year funding settlements"
